"CView Export Data File: Version 2.0"
"Export From File: c:\users\mikehome\appdata\local\programs\python\python36-32\lipf6-ppc-bare_al_no_clean-galvcyc-5-corr.txt"
  lithium intercalation bare Al without plasma clean AL30

  Open Circuit Potential (V): -1.935
"Time (Sec)"	"E (Volts)"
8256.2	0.43
8257.2	0.43
8258.2	0.43
8259.2	0.43
8260.2	0.43
8261.2	0.43
8262.2	0.43
8263.2	0.43
8264.2	0.43
8265.2	0.43
8266.2	0.43
8267.2	0.43
8268.2	0.43
8269.2	0.43
8270.2	0.43
8271.2	0.43
8272.2	0.43
8273.2	0.43
8274.2	0.43
8275.2	0.43
8276.2	0.43
8277.2	0.43
8278.2	0.43
8279.2	0.43
8280.2	0.43
8281.2	0.43
8282.2	0.43
8283.2	0.43
8284.2	0.43
8285.2	0.43
8286.2	0.43
8287.2	0.43
8288.2	0.43
8289.2	0.43
8290.2	0.43
8291.2	0.43
8292.2	0.43
8293.2	0.43
8294.2	0.43
8295.2	0.43
8296.2	0.43
8297.2	0.43
8298.2	0.43
8299.2	0.43
8300.2	0.43
8301.2	0.43
8302.2	0.43
8303.2	0.43
8304.2	0.43
8305.2	0.43
8306.2	0.43
8307.2	0.43
8308.2	0.43
8309.2	0.43
8310.2	0.43
8311.2	0.43
8312.2	0.43
8313.2	0.43
8314.2	0.43
8315.2	0.43
8316.2	0.43
8317.2	0.43
8318.2	0.43
8319.2	0.43
8320.2	0.43
8321.2	0.43
8322.2	0.43
8323.2	0.43
8324.2	0.43
8325.2	0.43
8326.2	0.43
8327.2	0.43
8328.2	0.43
8329.2	0.43
8330.2	0.43
8331.2	0.43
8332.2	0.43
8333.2	0.43
8334.2	0.43
8335.2	0.43
8336.2	0.43
8337.2	0.43
8338.2	0.43
8339.2	0.43
8340.2	0.43
8341.2	0.43
8342.2	0.43
8343.2	0.43
8344.2	0.43
8345.2	0.43
8346.2	0.43
8347.2	0.43
8348.2	0.43
8349.2	0.43
8350.2	0.43
8351.2	0.43
8352.2	0.43
8353.2	0.43
8354.2	0.43
8355.2	0.43
8356.2	0.43
8357.2	0.43
8358.2	0.43
8359.2	0.43
8360.2	0.43
8361.2	0.43
8362.2	0.43
8363.2	0.43
8364.2	0.43
8365.2	0.43
8366.2	0.43
8367.2	0.43
8368.2	0.43
8369.2	0.43
8370.2	0.43
8371.2	0.43
8372.2	0.43
8373.2	0.43
8374.2	0.43
8375.2	0.43
8376.2	0.43
8377.2	0.43
8378.2	0.43
8379.2	0.43
8380.2	0.43
8381.2	0.43
8382.2	0.43
8383.2	0.43
8384.2	0.43
8385.2	0.43
8386.2	0.43
8387.2	0.43
8388.2	0.43
8389.2	0.43
8390.2	0.43
8391.2	0.43
8392.2	0.43
8393.2	0.43
8394.2	0.43
8395.2	0.43
8396.2	0.43
8397.2	0.43
8398.2	0.43
8399.2	0.43
8400.2	0.43
8401.2	0.43
8402.2	0.43
8403.2	0.43
8404.2	0.43
8405.2	0.43
8406.2	0.43
8407.2	0.43
8408.2	0.43
8409.2	0.43
8410.2	0.43
8411.2	0.43
8412.2	0.43
8413.2	0.43
8414.2	0.43
8415.2	0.43
8416.2	0.43
8417.2	0.43
8418.2	0.43
8419.2	0.43
8420.2	0.43
8421.2	0.43
8422.2	0.43
8423.2	0.43
8424.2	0.43
8425.2	0.43
8426.2	0.43
8427.2	0.43
8428.2	0.43
8429.2	0.43
8430.2	0.43
8431.2	0.43
8432.2	0.43
8433.2	0.43
8434.2	0.43
8435.2	0.43
8436.2	0.43
8437.2	0.43
8438.2	0.43
8439.2	0.43
8440.2	0.43
8441.2	0.43
8442.2	0.43
8443.2	0.43
8444.2	0.43
8445.2	0.43
8446.2	0.43
8447.2	0.43
8448.2	0.43
8449.2	0.43
8450.2	0.43
8451.2	0.43
8452.2	0.43
8453.2	0.43
8454.2	0.43
8455.2	0.43
8456.2	0.43
8457.2	0.43
8458.2	0.43
8459.2	0.43
8460.2	0.43
8461.2	0.43
8462.2	0.43
8463.2	0.43
8464.2	0.43
8465.2	0.43
8466.2	0.43
8467.2	0.43
8468.2	0.43
8469.2	0.43
8470.2	0.43
8471.2	0.43
8472.2	0.43
8473.2	0.43
8474.2	0.43
8475.2	0.43
8476.2	0.43
8477.2	0.43
8478.2	0.43
8479.2	0.43
8480.2	0.43
8481.2	0.43
8482.2	0.43
8483.2	0.43
8484.2	0.43
8485.2	0.43
8486.2	0.43
8487.2	0.43
8488.2	0.43
8489.2	0.43
8490.2	0.43
8491.2	0.43
8492.2	0.43
8493.2	0.43
8494.2	0.43
8495.2	0.43
8496.2	0.43
8497.2	0.43
8498.2	0.43
8499.2	0.43
8500.2	0.43
8501.2	0.43
8502.2	0.43
8503.2	0.43
8504.2	0.43
8505.2	0.43
8506.2	0.43
8507.2	0.43
8508.2	0.43
8509.2	0.43
8510.2	0.43
8511.2	0.43
8512.2	0.43
8513.2	0.43
8514.2	0.43
8515.2	0.43
8516.2	0.43
8517.2	0.43
8518.2	0.43
8519.2	0.43
8520.2	0.43
8521.2	0.43
8522.2	0.43
8523.2	0.43
8524.2	0.43
8525.2	0.43
8526.2	0.43
8527.2	0.43
8528.2	0.43
8529.2	0.43
8530.2	0.43
8531.2	0.43
8532.2	0.43
8533.2	0.43
8534.2	0.43
8535.2	0.43
8536.2	0.43
8537.2	0.43
8538.2	0.43
8539.2	0.43
